Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.3387804878049
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.774
Samoa,WSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.768
San Marino,SMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.785
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.239
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.006
Serbia,SRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.4780487804878
Seychelles,SYC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.2365853658537
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.763
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.4658536585366
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.584
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.8658536585366
Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5317073170732
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.199
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.967
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.252
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.48
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.3317073170732
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.393
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.627
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.416
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.149
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.126
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.614
Suriname,SUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.561
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.3560975609756
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.14
Tajikistan,TJK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.994
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.408
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.274
Timor-Leste,TLS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.475
Togo,TGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.035
Tonga,TON,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.928
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.406
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.292
Turkiye,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.85
Turkmenistan,TKM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.687
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.001
Tuvalu,TUV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.382
Uganda,UGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.851
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1851219512195
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.946
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.3512195121951
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9804878048781
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.43
Uzbekistan,UZB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.331
Vanuatu,VUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.299
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.095
Vietnam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.378
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.819512195122
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.403
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.65
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.38
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.124
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.313860330682
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.2263727312399
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.9233595872331
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.5792038787508
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.087716844628
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.0299882762218
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.7619419904233
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.9360246370322
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.9688903275997
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5379202202808
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9591909600042
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.2166617037646
Europe & Central Asia (IDA & IBRD countries),TEC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.7012067160895
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.452093051787
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.7617589134804
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.7617201814617
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.0808812825288
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.3796956561869
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8220311189821
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.0062879415561
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.1059048304073
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.748926085736
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.7229088856861
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.0384741705489
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.8363033190349
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.927954848926
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.6347427935938
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.7638196716173
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.9545325364614
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5519023160901
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.9497683319316
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.1726969965726
Middle East & North Africa (IDA & IBRD countries),TMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.1463761984205
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.6491869509985
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.4635168508573
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.8983873703006
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.2555748322982
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3649211004034
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.0044753304406
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.2495318388734
Small states,SST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.0825725303329
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.7483309161325
South Asia (IDA & IBRD),TSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.7483309161325
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.8488944244664
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.8474927916025
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.8488944244664
Upper middle income,UMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1391964638901
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.2438221110764
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/19/2023,,,,
